Título,Coordenador,Campus,Período de Execução
Capacitação de multiplicadores de tecnologias sociais para saneamento básico rural,Jose Fernando Vieira de Faria,ARAÇUAÍ,De 02/05/2019 a 31/10/2019
"FESTIVAL INTERCAMPI DE CULTURAS: ENCANTOS DOS VALES, MONTES E SERTÕES DO IFNMG",Lillian Goncalves de Melo,ARAÇUAÍ,De 01/04/2019 a 20/12/2019
ARTES DE FAZER E VIVER O VALE DO JEQUITINHONHA: INVENTÁRIO PARTICIPATIVO DO ACERVO DO MUSEU ARAÇUAÍ,Tatiana da Costa Sena,ARAÇUAÍ,De 02/05/2019 a 31/12/2019
CLUBE DO EMPREENDEDOR,Joao Francisco Sarno Carvalho,ARAÇUAÍ,De 01/04/2019 a 10/10/2019
"METAIS PESADOS, UMA VISÃO PRÁTICA NA CADEIA ALIMENTAR",Sheila Rodrigues Oliveira,ARAÇUAÍ,De 02/05/2019 a 31/12/2019
III Encontro do Núcleo de Estudos e Pesquisas Rurais II Encontro de Estudantes de Agroecologia e I Fórum da Educação do Campo,Fabiano Rosa de Magalhaes,ARAÇUAÍ,De 02/05/2019 a 31/12/2019
Acompanhamento de Egressos - Campus Araçuaí,Ricardo Jardim Neiva,ARAÇUAÍ,De 01/04/2019 a 10/10/2019
"""MeditarVale: Meditação para tod@s""",Maria Cristina Silva dos Santos,ARAÇUAÍ,De 01/05/2019 a 01/11/2019
TREINAMENTO ESPORTIVO: Técnica e Tática,Edmara Moreira Cerqueira,ARAÇUAÍ,De 02/05/2019 a 20/12/2019
Enfermagem de Portas Abertas 2019,Juliana de Almeida Pereira e Santos,ARAÇUAÍ,De 01/05/2019 a 15/12/2019
Aprendizagem de Língua Inglesa através de dinâmicas,Sueli do Carmo Oliveira,ARAÇUAÍ,De 08/05/2019 a 31/07/2019
"""Vale Mulher: projeto de enfrentamento à violência""",Maria Cristina Silva dos Santos,ARAÇUAÍ,De 01/05/2019 a 01/11/2019
"INTERVENÇÕES: ARTE, POLÍTICA E DIREITOS HUMANOS",Jose Carlos Silverio dos Santos,ARAÇUAÍ,De 02/05/2019 a 31/12/2019
O Vale do Jequitinhonha pelas lentes de Lori figueiró: organização de fototeca digital on-line,Sueli do Carmo Oliveira,ARAÇUAÍ,De 02/05/2019 a 31/12/2019
SEIVA Cineclube,Luna Ceci Oliveira Cantuaria,ARAÇUAÍ,De 20/05/2019 a 20/11/2019
?A Fenomenologia e a Historicidade dos espaços? Um passeio pelo Vale do Jequitinhonha através do romance dos objetos.,Ernani Calazans de Oliveira,ARAÇUAÍ,De 02/05/2019 a 31/10/2019
Literartes: projeções interdisciplinares sobre o Vale do Jequitinhonha,Lillian Goncalves de Melo,ARAÇUAÍ,De 01/05/2019 a 20/12/2019
PC por dentro: curso de montagem e manutenção de computadores,Sueli do Carmo Oliveira,ARAÇUAÍ,De 02/05/2019 a 31/10/2019
Quem conta um conto... aumenta um ponto.,Gracia Lorena da Silva Jorge,ARAÇUAÍ,De 02/05/2019 a 31/10/2019
Introdução à suíte de aplicativos de escritório LibreOffice para adolescentes do ensino médio das escolas públicas de Araçuaí-MG,Sueli do Carmo Oliveira,ARAÇUAÍ,De 02/05/2019 a 31/10/2019
FABRIQUETA DE SABÃO: APROVEITAMENTO DE RESÍDUOS NA EDUCAÇÃO AMBIENTAL DE COMUNIDADES,Kaique Mesquita Cardoso,ARAÇUAÍ,De 02/05/2019 a 20/12/2019
PROGRAMA MAPEAMENTO DE POVOS E COMUNIDADES TRADICIONAIS DE MINAS GERAIS: VISIBILIZAÇÃO E INCLUSÃO SOCIOPOLÍTICA,Jose Carlos Silverio dos Santos,ARAÇUAÍ,De 02/05/2019 a 31/12/2019
Povos Indígenas do Vale do Jequitinhonha: conhecer para preservar,Lillian Goncalves de Melo,ARAÇUAÍ,De 01/05/2019 a 20/12/2019
Impactos na paisagem do rio Jequitinhonha a jusante da barragem de Irapé.,Jose Fernando Vieira de Faria,ARAÇUAÍ,De 02/05/2019 a 31/10/2019
Podemos Mais: Cursinho Levante Popular da Juventude,Sueli do Carmo Oliveira,ARAÇUAÍ,De 11/07/2019 a 20/12/2019
Informática e Cidadania,Gustavo Rezende Sa,ARAÇUAÍ,De 01/11/2019 a 06/12/2019
TESOUROS DE UM BAÚ LITERÁRIO NA APAE,Djanine Raquel Cantuaria Santos Fonseca,ARINOS,De 02/05/2019 a 31/10/2019
Clube do Empreendedor,Camila Molina Palles,ARINOS,De 01/04/2019 a 10/10/2019
HORTA NO SISTEMA DE PRODUÇÃO AGROECOLÓGICA INTEGRADA E SUSTENTÁVEL (PAIS) NO IFNMG CAMPUS ARINOS COMO INSTRUMENTO DE EDUCAÇÃO AMBIENTAL,Maria Helena Alves Pereira,ARINOS,De 02/05/2019 a 31/10/2019
Vitrine Tecnológica de Hortfruti,Jose Francisco Teixeira Pitangui,ARINOS,De 10/05/2019 a 10/11/2019
Portfólio de Oportunidades,Josue Reis Batista Junior,ARINOS,De 01/04/2019 a 10/10/2019
Acompanhamento de Egressos,Camila Molina Palles,ARINOS,De 01/04/2019 a 10/10/2019
DIFUSÃO DE NOVAS TECNOLOGIAS NA CULTURA DA MELANCIA PARA OS AGRICULTORES FAMILIARES DE ARINOS-MG,Josedir Lopes de Araujo,ARINOS,De 25/05/2019 a 25/11/2019
"IMPLANTAÇÃO DE HORTAS MEDICINAIS EM UNIDADES ESCOLARES DO MUNICÍPIO DE ARINOS-MG COMO INSTRUMENTO DE CONSCIENTIZAÇÃO DE RESPONSABILIDADE SOCIAL, AMBIENTAL E CULTURAL",Cinthia Gracielly Rodrigues,ARINOS,De 01/05/2019 a 31/10/2019
Programa qualidade microbiológica do leite,Gustavo Rodrigues Morgado,ARINOS,De 06/05/2019 a 04/11/2019
"II Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões do IFNMG",Romualdo Ferreira dos Santos,ARINOS,De 01/05/2019 a 30/09/2019
Gestão ambiental de áreas verdes urbanas do município de Arinos,Gabriel Muller Valadao,ARINOS,De 02/05/2019 a 31/10/2019
Formação de Condutores Ambientais no Grande Sertão,Gabriel Muller Valadao,ARINOS,De 02/05/2019 a 31/10/2019
Oficinas de Práticas Esportivas e de Lazer,Romualdo Ferreira dos Santos,ARINOS,De 01/05/2019 a 31/10/2019
PROGRAMA DE CONTROLE DE FRAUDE NO LEITE CRU PRODUZIDO EM URUANA DE MINAS - MG,Gustavo Rodrigues Morgado,ARINOS,De 02/05/2019 a 04/11/2019
