INSTITUIÇÃO,GRUPO,LÍDER,ÁREA PREDOMINANTE,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Desenvolvimento  de processos de separação,João Carlos Gonçalves,Engenharia Química,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Biodiversidade e Conservação do Semiárido,Michellia Pereira Soares,Biologia Geral,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,GRUPO DE ESTUDOS E PESQUISAS DIDÁTICO-PEDAGÓGICAS - GEPDP,Lílian Gleisia Alves dos Santos,Educação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,"Grupo de Estudos e Pesquisas em Literaturas Indígena, Afro, afrodescendente e Estudos Culturais: GEPELIA",Marli Silva Fróes,Letras,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,"GUITARComp - Grupo de Pesquisa em Tecnologias Aplicadas, Informática e Ciência da Computação ",Helder Luiz Palmieri Caldas,Ciência da Computação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Desenvolvimento Sustentável,Alessandro de Paula Silva,Recursos Florestais e Engenharia Florestal,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Tecnologia em Produção de Cachaça,Fabrício Silveira Santos,Ciência e Tecnologia de Alimentos,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Formação de Professores: os Processos de Ensino-Aprendizagem,Maria Aparecida Colares Mendes,Educação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,"Práticas da Administração Eupsíquica, Bases do Comportamento Organizacional e Medidas Psicométricas ",Gustavo Henrique Silva de Souza,Administração,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Estudos e Pesquisa em Tecnologias Móveis,Hélder Seixas Lima,Ciência da Computação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Processos e Separações,Daniel Rodrigues Magalhaes,Engenharia Química,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Estudos e Pesquisas em Plantas Medicinais-GEPlaM,Patrícia Nery Silva Souza,Biologia Geral,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Informática Aplicada a Educação,Joselice Ferreira Lima,Ciência da Computação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,LARDIQUI,Farley Jean de Sousa,Química,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Núcleo de Estudos e Pesquisas em Agroecologia Minas d'Água,Renildo Ismael Félix da Costa,Agronomia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Estudos em Administração e Empreendedorismo - GEADE,André Geraldo da Costa Coelho,Administração,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,"Grupo de Estudos ""Semente""",Fabiano Rosa de Magalhães,Sociologia,,
